All Companies,Symbol,Lot Size (Oct 2025),Lot Size (Nov 2025),Lot Size (Dec 2025)
"Nifty Bank","BANKNIFTY","35","35","35"
"Finnifty","FINNIFTY","65","65","65"
"Nifty Midcap Select","MIDCPNIFTY","140","140","140"
"Nifty 50","NIFTY","75","75","75"
"Nifty Next 50","NIFTY NEXT 50","25","25","25"
"360 One WAM","360ONE","500","500","500"
"ABB","ABB","125","125","125"
"Aditya Birla Capital","ABCAPITAL","3100","3100","3100"
"Adani Energy Solutions","ADANIENSOL","675","675","675"
"Adani Enterprises","ADANIENT","300","300","300"
"Adani Green Energy","ADANIGREEN","600","600","600"
"Adani Ports & SEZ","ADANIPORTS","475","475","475"
"Alkem Laboratories","ALKEM","125","125","125"
"Amber Enterprises","AMBER","100","100","100"
"Ambuja Cements","AMBUJACEM","1050","1050","1050"
"Angel One","ANGELONE","250","250","250"
"APL Apollo Tubes","APLAPOLLO","350","350","350"
"Apollo Hospitals","APOLLOHOSP","125","125","125"
"Ashok Leyland","ASHOKLEY","5000","5000","5000"
"Asian Paints","ASIANPAINT","250","250","250"
"Astral","ASTRAL","425","425","425"
"AU Small Finance Bank","AUBANK","1000","1000","1000"
"Aurobindo Pharma","AUROPHARMA","550","550","550"
"Axis Bank","AXISBANK","625","625","625"
"Bajaj Auto","BAJAJ-AUTO","75","75","75"
"Bajaj Finserv","BAJAJFINSV","500","500","500"
"Bajaj Finance","BAJFINANCE","750","750","750"
"Bandhan Bank","BANDHANBNK","3600","3600","3600"
"Bank of Baroda","BANKBARODA","2925","2925","2925"
"Bank of India","BANKINDIA","5200","5200","5200"
"Bharat Dynamics","BDL","325","325","325"
"Bharat Electronics","BEL","2850","2850","2850"
"Bharat Forge","BHARATFORG","500","500","500"
"Bharti Airtel","BHARTIARTL","475","475","475"
"Bharat Heavy Electricals","BHEL","2625","2625","2625"
"Biocon","BIOCON","2500","2500","2500"
"Blue Star","BLUESTARCO","325","325","325"
"Bosch","BOSCHLTD","25","25","25"
"Bharat Petroleum","BPCL","1975","1975","1975"
"Britannia Industries","BRITANNIA","125","125","125"
"BSE","BSE","375","375","375"
"Computer Age Management Services","CAMS","150","150","150"
"Canara Bank","CANBK","6750","6750","6750"
"CDSL","CDSL","475","475","475"
"CG Power & Industrial Solutions","CGPOWER","850","850","850"
"Cholamandalam Investment","CHOLAFIN","625","625","625"
"Cipla","CIPLA","375","375","375"
"Coal India","COALINDIA","1350","1350","1350"
"Coforge","COFORGE","375","375","375"
"Colgate Palmolive","COLPAL","225","225","225"
"Container Corporation of India","CONCOR","1250","1250","1250"
"Crompton Greaves","CROMPTON","1800","1800","1800"
"Cummins","CUMMINSIND","200","200","200"
"Cyient","CYIENT","425","425","425"
"Dabur India","DABUR","1250","1250","1250"
"Dalmia Bharat","DALBHARAT","325","325","325"
"Delhivery","DELHIVERY","2075","2075","2075"
"Divis Laboratories","DIVISLAB","100","100","100"
"Dixon Technologies","DIXON","50","50","50"
"DLF","DLF","825","825","825"
"Avenue Supermarts DMart","DMART","150","150","150"
"Dr Reddys Laboratories","DRREDDY","625","625","625"
"Eicher Motors","EICHERMOT","175","175","175"
"Eternal","ETERNAL","2425","2425","2425"
"Exide Industries","EXIDEIND","1800","1800","1800"
"Federal Bank","FEDERALBNK","5000","5000","5000"
"Fortis Healthcare","FORTIS","775","775","775"
"GAIL","GAIL","3150","3150","3150"
"Glenmark Pharmaceuticals","GLENMARK","375","375","375"
"GMR Airports","GMRAIRPORT","6975","6975","6975"
"Godrej Consumer Products","GODREJCP","500","500","500"
"Godrej Properties","GODREJPROP","275","275","275"
"Grasim Industries","GRASIM","250","250","250"
"Hindustan Aeronautics","HAL","150","150","150"
"Havells","HAVELLS","500","500","500"
"HCL Technologies","HCLTECH","350","350","350"
"HDFC AMC","HDFCAMC","150","150","150"
"HDFC Bank","HDFCBANK","1100","1100","1100"
"HDFC Life Insurance","HDFCLIFE","1100","1100","1100"
"Hero Motocorp","HEROMOTOCO","150","150","150"
