2026-02-05 11:33:52,421 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='BANKINDIA', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:33:52,426 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='SBIN', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:33:52,427 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='UNIONBANK', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:33:52,427 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='CANBK', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:33:52,429 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PNB', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:34:04,769 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='BANKBARODA', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:34:04,771 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='INDIANB', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:34:04,772 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='COLPAL', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:34:04,778 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='DABUR', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:34:04,820 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='MARICO', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:34:09,653 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='GODREJCP', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:34:09,655 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HINDUNILVR', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:34:09,656 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='ITC', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:34:09,657 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='VBL', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:34:09,658 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TATACONSUM', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:34:14,616 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PATANJALI', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:34:14,619 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='BRITANNIA', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:34:14,620 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='HINDPETRO', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:34:14,621 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='ONGC', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:34:14,623 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='IOC', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:34:19,320 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='BPCL', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2026-02-05 11:34:19,323 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='GAIL', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2026-02-05 11:34:19,324 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
2026-02-05 11:34:19,326 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='RELIANCE', exchange='NSE', timeframe='1') - Queue size after add: 4, Max allowed: 5
2026-02-05 11:34:19,328 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PETRONET', exchange='NSE', timeframe='1') - Queue size after add: 5, Max allowed: 5
2026-02-05 11:34:26,303 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OIL 24 FEB 500 PUT', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
